DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH4 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NO4 LEACHING   
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
1984-01-01	12753.5        	36.05          	7.979          	0.0282         	0.000          	0.028          	0.0487         	0.00012        	0.00030        	0.00003        	0.00000        	0.00000        	0.00000        
1984-01-02	12753.5        	36.10          	7.957          	0.0257         	0.000          	0.026          	0.0468         	0.00012        	0.00027        	0.00003        	0.00000        	0.00000        	0.00000        
1984-01-03	12753.5        	36.14          	7.937          	0.0250         	0.000          	0.025          	0.0454         	0.00011        	0.00029        	0.00003        	0.00000        	0.00000        	0.00000        
1984-01-04	12753.4        	36.19          	7.933          	0.0439         	0.000          	0.044          	0.0468         	0.00012        	0.00048        	0.00005        	0.00000        	0.00000        	0.00000        
1984-01-05	12753.3        	36.24          	7.970          	0.0892         	0.000          	0.089          	0.0516         	0.00013        	0.00033        	0.00091        	0.00015        	0.00000        	0.00000        
1984-01-06	12753.2        	36.29          	8.020          	0.1051         	0.000          	0.105          	0.0548         	0.00014        	0.00057        	0.00104        	0.00017        	0.00000        	0.00000        
1984-01-07	12753.1        	36.34          	8.050          	0.0838         	0.000          	0.084          	0.0528         	0.00013        	0.00079        	0.00070        	0.00012        	0.00000        	0.00000        
1984-01-08	12753.1        	36.39          	8.031          	0.0246         	0.000          	0.025          	0.0433         	0.00011        	0.00034        	0.00003        	0.00000        	0.00000        	0.00000        
1984-01-09	12753.1        	36.43          	8.009          	0.0182         	0.000          	0.018          	0.0395         	0.00010        	0.00031        	0.00002        	0.00000        	0.00000        	0.00000        
1984-01-10	12753.1        	36.47          	8.004          	0.0362         	0.000          	0.036          	0.0407         	0.00010        	0.00052        	0.00004        	0.00000        	0.00000        	0.00000        
1984-01-11	12753.0        	36.50          	7.988          	0.0215         	0.000          	0.021          	0.0375         	0.00009        	0.00059        	0.00002        	0.00000        	0.00000        	0.00000        
