YEAR   	Profile        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	ABOVE 30 cm    	BELOW 30 cm    	RES BIOMASS    	ROOT BIOMASS   	RES BIOMASS IN 	ROOT BIOMASS IN	INIT PROF C    	RES C INPUT    	ROOT C INPUT   	HUMIFIED C     	RESPIRED C     	FINAL PROF C   	YEAR C DIFF    
YYYY   	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg C/ha        	Mg/year        	Mg/year        	Mg/year        	Mg/year        	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      
1984	122.849298     	15.306297      	15.273181      	30.616998      	31.574484      	16.515067      	8.435904       	3.413918       	1.713448       	76.983718      	45.865580      	10.342064      	2.873458       	0.000000       	2.873458       	123.820824     	0.272015       	0.458489       	1.303401       	1.553900       	122.849298     	-0.971526      
1985	122.557232     	15.551289      	15.229069      	30.360300      	31.366422      	16.484809      	8.437530       	3.414339       	1.713474       	76.823869      	45.733363      	10.098624      	2.997336       	6.264223       	2.997336       	122.849298     	4.805913       	1.420178       	4.030516       	2.526326       	122.557232     	-0.292065      
1986	122.195830     	15.671351      	15.250680      	30.137989      	31.116860      	16.447605      	8.441964       	3.415809       	1.713571       	76.618451      	45.577379      	9.881233       	2.890698       	4.782646       	2.890698       	122.557232     	4.471670       	1.230421       	3.844736       	2.567128       	122.195830     	-0.361402      
1987	122.014481     	15.746471      	15.292348      	30.033675      	30.943521      	16.419270      	8.446617       	3.418710       	1.713868       	76.544255      	45.470226      	8.275539       	2.466926       	4.364223       	2.466926       	122.195830     	4.284476       	1.124408       	3.509079       	2.244793       	122.014481     	-0.181349      
1988	121.637198     	15.705876      	15.310448      	29.924317      	30.729045      	16.380087      	8.450955       	3.422058       	1.714413       	76.305164      	45.332035      	7.583747       	2.231852       	3.342295       	2.231852       	122.014481     	3.185504       	0.919503       	2.875638       	2.015790       	121.637198     	-0.377283      
1989	121.215659     	15.663748      	15.286423      	29.808647      	30.517161      	16.344705      	8.454203       	3.425509       	1.715264       	76.017398      	45.198261      	9.027064       	2.669081       	3.427182       	2.669081       	121.637198     	3.429094       	1.145333       	3.153555       	2.166373       	121.215659     	-0.421539      
1990	121.011568     	15.818068      	15.270038      	29.694253      	30.307347      	16.316042      	8.458403       	3.430408       	1.717010       	75.936032      	45.075536      	8.569151       	2.586718       	3.787834       	2.586718       	121.215659     	4.861141       	1.238206       	3.959668       	2.539356       	121.011568     	-0.204091      
1991	120.753881     	15.756843      	15.286996      	29.653967      	30.146281      	16.293802      	8.462371       	3.434704       	1.718918       	75.770946      	44.982935      	6.799068       	2.121578       	2.564629       	2.121578       	121.011568     	3.132128       	0.946746       	2.749537       	1.840883       	120.753881     	-0.257687      
1992	120.231952     	15.567074      	15.235710      	29.559887      	29.976857      	16.268137      	8.465982       	3.437961       	1.720345       	75.351098      	44.880854      	10.357724      	3.074911       	2.458733       	3.074911       	120.753881     	2.224821       	0.941102       	2.380436       	1.783520       	120.231952     	-0.521929      
1993	120.215643     	15.731792      	15.250583      	29.531042      	29.818244      	16.247555      	8.471757       	3.442392       	1.722279       	75.422538      	44.793105      	9.238490       	2.794955       	6.044893       	2.794955       	120.231952     	5.090660       	1.405026       	4.066605       	2.431898       	120.215643     	-0.016309      
1994	119.744529     	15.663116      	15.218384      	29.422186      	29.580507      	16.210272      	8.478548       	3.447137       	1.724379       	75.093939      	44.650590      	10.934604      	3.012833       	3.863824       	3.012833       	120.215643     	3.684730       	1.260315       	3.496547       	2.454042       	119.744529     	-0.471114      
1995	119.634358     	15.746726      	15.231241      	29.398569      	29.410825      	16.184627      	8.483537       	3.452142       	1.726691       	75.081948      	44.552410      	7.924619       	2.438277       	5.221370       	2.438277       	119.744529     	4.888397       	1.142087       	3.868073       	2.423048       	119.634358     	-0.110171      
1996	119.119685     	15.595334      	15.184533      	29.314477      	29.200793      	16.151435      	8.488541       	3.456104       	1.728469       	74.694740      	44.424945      	10.813785      	3.031199       	3.251988       	3.031199       	119.634358     	3.119718       	1.180145       	3.095675       	2.211009       	119.119685     	-0.514672      
1997	119.058286     	15.639701      	15.209237      	29.332704      	29.058706      	16.132869      	8.493226       	3.460985       	1.730858       	74.710995      	44.347291      	8.479569       	2.609945       	5.412758       	2.609945       	119.119685     	4.288738       	1.022784       	3.393887       	2.093700       	119.058286     	-0.061399      
1998	118.596313     	15.599264      	15.167190      	29.220299      	28.816674      	16.093190      	8.500020       	3.466365       	1.733313       	74.395089      	44.201224      	10.660383      	2.960807       	3.449235       	2.960807       	119.058286     	4.140496       	1.482131       	3.899678       	2.664758       	118.596313     	-0.461973      
1999	118.512655     	15.709563      	15.182475      	29.200046      	28.645242      	16.064337      	8.504721       	3.470879       	1.735392       	74.414705      	44.097950      	7.640808       	2.374468       	5.137029       	2.374468       	118.596313     	4.872262       	1.121815       	3.844015       	2.385809       	118.512655     	-0.083659      
2000	118.009314     	15.510419      	15.144052      	29.137463      	28.463160      	16.033949      	8.508249       	3.474797       	1.737224       	74.023515      	43.985799      	10.600712      	3.005460       	2.461101       	3.005460       	118.512655     	2.707314       	1.058262       	2.760320       	2.006652       	118.009314     	-0.503341      
2001	117.926809     	15.613836      	15.146574      	29.117649      	28.303994      	16.013043      	8.512381       	3.479730       	1.739602       	74.030056      	43.896753      	9.888627       	2.967479       	6.074627       	2.967479       	118.009314     	5.027615       	1.335422       	4.064880       	2.484636       	117.926809     	-0.082505      
2002	117.851260     	15.632010      	15.162861      	29.147416      	28.168865      	15.995942      	8.518067       	3.484354       	1.741745       	74.026720      	43.824540      	6.746134       	2.253611       	3.640753       	2.253611       	117.926809     	4.044431       	1.069381       	3.308029       	2.074651       	117.851260     	-0.075549      
2003	117.314076     	15.454434      	15.095367      	29.072883      	27.966775      	15.969912      	8.523593       	3.487853       	1.743261       	73.606071      	43.708006      	9.898947       	2.829919       	2.719955       	2.829919       	117.851260     	2.740164       	1.107360       	2.857156       	2.089231       	117.314076     	-0.537183      
2004	116.867620     	15.450330      	15.021713      	28.949211      	27.744361      	15.934898      	8.529567       	3.492334       	1.745206       	73.293435      	43.574185      	10.970949      	3.099222       	5.222809       	3.099222       	117.314076     	4.416648       	1.412420       	4.025133       	2.700618       	116.867620     	-0.446456      
2005	116.789985     	15.522818      	15.040369      	28.945038      	27.595417      	15.906296      	8.534616       	3.497679       	1.747752       	73.305934      	43.484052      	8.823228       	2.762287       	5.630990       	2.762287       	116.867620     	4.704013       	1.100065       	3.744577       	2.305137       	116.789985     	-0.077635      
2006	116.522498     	15.546451      	15.020906      	28.886560      	27.404195      	15.871617      	8.540225       	3.502542       	1.750002       	73.156015      	43.366483      	9.139342       	2.740520       	3.575925       	2.740520       	116.789985     	4.268866       	1.324643       	3.769664       	2.461995       	116.522498     	-0.267488      
2007	116.286283     	15.526247      	15.004578      	28.850083      	27.252215      	15.849865      	8.543946       	3.507131       	1.752219       	73.007015      	43.279268      	10.863630      	3.159939       	3.460707       	3.159939       	116.522498     	3.992479       	1.132447       	3.417871       	2.213016       	116.286283     	-0.236214      
2008	116.148226     	15.489639      	15.008938      	28.872523      	27.129580      	15.831921      	8.549362       	3.511838       	1.754425       	72.935890      	43.212336      	9.634770       	2.871720       	4.299233       	2.871720       	116.286283     	4.029585       	1.296784       	3.501698       	2.206759       	116.148226     	-0.138057      
2009	115.838517     	15.451033      	14.985526      	28.813295      	26.952733      	15.806786      	8.556470       	3.516305       	1.756368       	72.726221      	43.112296      	11.618152      	3.187509       	4.629595       	3.187509       	116.148226     	4.222433       	1.358404       	3.805030       	2.510061       	115.838517     	-0.309709      
2010	115.760564     	15.540391      	15.002314      	28.787757      	26.803210      	15.782811      	8.562976       	3.522051       	1.759053       	72.732067      	43.028497      	9.578714       	2.863760       	5.560995       	2.863760       	115.838517     	5.129330       	1.327466       	4.169471       	2.567665       	115.760564     	-0.077953      
2011	115.419203     	15.502251      	14.965151      	28.715435      	26.625799      	15.753827      	8.569106       	3.526601       	1.761033       	72.495736      	42.923467      	10.795685      	3.055016       	4.148519       	3.055016       	115.760564     	4.517449       	1.411673       	4.034265       	2.665975       	115.419203     	-0.341361      
2012	115.205106     	15.455673      	14.957250      	28.702406      	26.489596      	15.729761      	8.574431       	3.532196       	1.763793       	72.360126      	42.844980      	8.485474       	2.621928       	3.752382       	2.621928       	115.419203     	4.225195       	1.145240       	3.584664       	2.317432       	115.205106     	-0.214097      
