YEAR   	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	RES C INPUT    	RES C INPUT    	RES C INPUT    	RES C INPUT    	RES C INPUT    	RES C INPUT    	RES C INPUT    	RES C INPUT    	ROOT C INPUT   	ROOT C INPUT   	ROOT C INPUT   	ROOT C INPUT   	ROOT C INPUT   	ROOT C INPUT   	ROOT C INPUT   	ROOT C INPUT   	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         
-      	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        
YYYY   	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      
1984	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.525          	0.430          	0.640          	0.717          	0.322          	0.145          	0.065          	0.029          	0.272          	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.018233       	0.104541       	0.116266       	0.128637       	0.037632       	0.030274       	0.015216       	0.007691       	15.477364      	15.477364      	30.954727      	31.797196      	16.549523      	8.437299       	3.413904       	1.713447       	0.290411       	0.224349       	0.355101       	0.322449       	0.079415       	0.021686       	0.006726       	0.003264       	0.288499       	0.296835       	0.501015       	0.367895       	0.087013       	0.012201       	0.000417       	0.000025       	15.306297      	15.273181      	30.616998      	31.574484      	16.515067      	8.435904       	3.413918       	1.713448       	-0.171067      	-0.204182      	-0.337729      	-0.222712      	-0.034456      	-0.001395      	0.000014       	0.000001       
1985	2.900          	2.204          	1.161          	0.000          	0.000          	0.000          	0.000          	0.000          	0.548          	0.449          	0.668          	0.748          	0.336          	0.151          	0.068          	0.030          	3.386          	0.933          	0.488          	0.000          	0.000          	0.000          	0.000          	0.000          	0.206184       	0.222159       	0.340121       	0.361917       	0.181587       	0.066603       	0.029178       	0.012430       	15.306297      	15.273181      	30.616998      	31.574484      	16.515067      	8.435904       	3.413918       	1.713448       	1.995553       	0.763407       	0.668110       	0.405932       	0.139987       	0.039205       	0.013032       	0.005289       	1.006863       	0.511077       	0.557922       	0.347457       	0.086766       	0.015197       	0.000984       	0.000060       	15.551289      	15.229069      	30.360300      	31.366422      	16.484809      	8.437530       	3.414339       	1.713474       	0.244993       	-0.044112      	-0.256698      	-0.208062      	-0.030258      	0.001626       	0.000421       	0.000025       
1986	2.222          	1.684          	0.877          	0.000          	0.000          	0.000          	0.000          	0.000          	0.528          	0.433          	0.644          	0.721          	0.324          	0.146          	0.065          	0.029          	3.352          	0.732          	0.388          	0.000          	0.000          	0.000          	0.000          	0.000          	0.207581       	0.195687       	0.280882       	0.302705       	0.139633       	0.063671       	0.027904       	0.012357       	15.551289      	15.229069      	30.360300      	31.366422      	16.484809      	8.437530       	3.414339       	1.713474       	1.972366       	0.642013       	0.620937       	0.413603       	0.135027       	0.041922       	0.013538       	0.005330       	1.014799       	0.457693       	0.575041       	0.392191       	0.104221       	0.020613       	0.002413       	0.000158       	15.671351      	15.250680      	30.137989      	31.116860      	16.447605      	8.441964       	3.415809       	1.713571       	0.120062       	0.021611       	-0.222310      	-0.249562      	-0.037204      	0.004433       	0.001470       	0.000098       
1987	2.023          	1.536          	0.805          	0.000          	0.000          	0.000          	0.000          	0.000          	0.451          	0.369          	0.550          	0.615          	0.277          	0.124          	0.056          	0.025          	3.285          	0.657          	0.343          	0.000          	0.000          	0.000          	0.000          	0.000          	0.203128       	0.174078       	0.252973       	0.273805       	0.124612       	0.057944       	0.025917       	0.011952       	15.671351      	15.250680      	30.137989      	31.116860      	16.447605      	8.441964       	3.415809       	1.713571       	1.914752       	0.572929       	0.523354       	0.328676       	0.111791       	0.038089       	0.014130       	0.005359       	0.977977       	0.407955       	0.461899       	0.292405       	0.081080       	0.018674       	0.004372       	0.000431       	15.746471      	15.292348      	30.033675      	30.943521      	16.419270      	8.446617       	3.418710       	1.713868       	0.075120       	0.041668       	-0.104314      	-0.173339      	-0.028335      	0.004654       	0.002901       	0.000297       
1988	1.554          	1.177          	0.611          	0.000          	0.000          	0.000          	0.000          	0.000          	0.408          	0.334          	0.497          	0.557          	0.250          	0.112          	0.051          	0.023          	2.398          	0.513          	0.274          	0.000          	0.000          	0.000          	0.000          	0.000          	0.152139       	0.143499       	0.213125       	0.229149       	0.104010       	0.046868       	0.021340       	0.009371       	15.746471      	15.292348      	30.033675      	30.943521      	16.419270      	8.446617       	3.418710       	1.713868       	1.409329       	0.476741       	0.487037       	0.338324       	0.112543       	0.034526       	0.012622       	0.004516       	0.733185       	0.362004       	0.469227       	0.331442       	0.094017       	0.020195       	0.004953       	0.000768       	15.705876      	15.310448      	29.924317      	30.729045      	16.380087      	8.450955       	3.422058       	1.714413       	-0.040595      	0.018099       	-0.109358      	-0.214475      	-0.039183      	0.004337       	0.003347       	0.000545       
1989	1.591          	1.206          	0.630          	0.000          	0.000          	0.000          	0.000          	0.000          	0.488          	0.399          	0.595          	0.666          	0.299          	0.134          	0.060          	0.027          	2.617          	0.532          	0.280          	0.000          	0.000          	0.000          	0.000          	0.000          	0.171462       	0.187790       	0.277207       	0.292183       	0.125252       	0.054926       	0.025264       	0.011250       	15.705876      	15.310448      	29.924317      	30.729045      	16.380087      	8.450955       	3.422058       	1.714413       	1.567406       	0.525173       	0.530455       	0.361975       	0.112694       	0.035874       	0.014363       	0.005613       	0.840289       	0.400339       	0.492760       	0.327399       	0.081948       	0.017385       	0.005069       	0.001185       	15.663748      	15.286423      	29.808647      	30.517161      	16.344705      	8.454203       	3.425509       	1.715264       	-0.042129      	-0.024025      	-0.115670      	-0.211885      	-0.035382      	0.003249       	0.003451       	0.000851       
1990	1.760          	1.334          	0.694          	0.000          	0.000          	0.000          	0.000          	0.000          	0.473          	0.387          	0.576          	0.645          	0.290          	0.130          	0.059          	0.026          	3.984          	0.575          	0.302          	0.000          	0.000          	0.000          	0.000          	0.000          	0.246818       	0.202123       	0.291330       	0.276942       	0.120502       	0.057500       	0.029520       	0.013472       	15.663748      	15.286423      	29.808647      	30.517161      	16.344705      	8.454203       	3.425509       	1.715264       	2.303050       	0.557744       	0.567044       	0.360587       	0.108146       	0.037972       	0.017675       	0.007450       	1.156846       	0.416209       	0.525219       	0.334288       	0.078463       	0.018769       	0.007144       	0.002417       	15.818068      	15.270038      	29.694253      	30.307347      	16.316042      	8.458403       	3.430408       	1.717010       	0.154320       	-0.016385      	-0.114394      	-0.209814      	-0.028663      	0.004200       	0.004899       	0.001746       
1991	1.189          	0.903          	0.473          	0.000          	0.000          	0.000          	0.000          	0.000          	0.388          	0.317          	0.473          	0.529          	0.238          	0.107          	0.048          	0.022          	2.546          	0.382          	0.204          	0.000          	0.000          	0.000          	0.000          	0.000          	0.156177       	0.143396       	0.211174       	0.251525       	0.108272       	0.046471       	0.020151       	0.009580       	15.818068      	15.270038      	29.694253      	30.307347      	16.316042      	8.458403       	3.430408       	1.717010       	1.484848       	0.392092       	0.421603       	0.304384       	0.095748       	0.031772       	0.013118       	0.005971       	0.764062       	0.305468       	0.405284       	0.271905       	0.068553       	0.016653       	0.006318       	0.002641       	15.756843      	15.286996      	29.653967      	30.146281      	16.293802      	8.462371       	3.434704       	1.718918       	-0.061225      	0.016958       	-0.040286      	-0.161066      	-0.022240      	0.003968       	0.004296       	0.001908       
