DATE      	SOIL ORG C     	HUMIFIED C     	RES RESPIRED C 	SOM RESPIRED C 
YYYY-MM-DD	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          
1984-01-01	127.54         	0.00021        	0.00000        	0.00029        
1984-01-02	127.53         	0.00019        	0.00000        	0.00027        
1984-01-03	127.53         	0.00019        	0.00000        	0.00026        
1984-01-04	127.53         	0.00031        	0.00000        	0.00045        
1984-01-05	127.53         	0.00061        	0.00000        	0.00092        
1984-01-06	127.53         	0.00071        	0.00000        	0.00109        
1984-01-07	127.53         	0.00058        	0.00000        	0.00087        
1984-01-08	127.53         	0.00019        	0.00000        	0.00026        
1984-01-09	127.53         	0.00014        	0.00000        	0.00019        
1984-01-10	127.53         	0.00026        	0.00000        	0.00038        
1984-01-11	127.53         	0.00016        	0.00000        	0.00022        
1984-01-12	127.53         	0.00013        	0.00000        	0.00018        
1984-01-13	127.53         	0.00004        	0.00000        	0.00005        
1984-01-14	127.53         	0.00003        	0.00000        	0.00005        
1984-01-15	127.53         	0.00003        	0.00000        	0.00004        
1984-01-16	127.53         	0.00003        	0.00000        	0.00004        
1984-01-17	127.53         	0.00002        	0.00000        	0.00003        
1984-01-18	127.53         	0.00002        	0.00000        	0.00003        
1984-01-19	127.53         	0.00002        	0.00000        	0.00003        
1984-01-20	127.53         	0.00000        	0.00000        	0.00000        
1984-01-21	127.53         	0.00000        	0.00000        	0.00000        
1984-01-22	127.53         	0.00000        	0.00000        	0.00000        
1984-01-23	127.53         	0.00000        	0.00000        	0.00000        
1984-01-24	127.53         	0.00000        	0.00000        	0.00000        
1984-01-25	127.53         	0.00000        	0.00000        	0.00000        
1984-01-26	127.53         	0.00028        	0.00000        	0.00045        
1984-01-27	127.53         	0.00050        	0.00000        	0.00078        
1984-01-28	127.53         	0.00044        	0.00000        	0.00068        
1984-01-29	127.53         	0.00012        	0.00000        	0.00017        
1984-01-30	127.53         	0.00011        	0.00000        	0.00016        
1984-01-31	127.53         	0.00012        	0.00000        	0.00016        
1984-02-01	127.53         	0.00003        	0.00000        	0.00004        
1984-02-02	127.53         	0.00002        	0.00000        	0.00003        
1984-02-03	127.53         	0.00002        	0.00000        	0.00003        
1984-02-04	127.53         	0.00062        	0.00000        	0.00098        
1984-02-05	127.53         	0.00053        	0.00000        	0.00082        
1984-02-06	127.53         	0.00016        	0.00000        	0.00022        
1984-02-07	127.53         	0.00012        	0.00000        	0.00016        
1984-02-08	127.53         	0.00003        	0.00000        	0.00004        
1984-02-09	127.53         	0.00003        	0.00000        	0.00004        
1984-02-10	127.52         	0.00039        	0.00000        	0.00060        
1984-02-11	127.52         	0.00077        	0.00000        	0.00120        
1984-02-12	127.52         	0.00095        	0.00000        	0.00147        
1984-02-13	127.52         	0.00108        	0.00000        	0.00167        
1984-02-14	127.52         	0.00186        	0.00000        	0.00290        
1984-02-15	127.51         	0.00239        	0.00000        	0.00377        
1984-02-16	127.51         	0.00242        	0.00000        	0.00377        
1984-02-17	127.51         	0.00210        	0.00000        	0.00325        
1984-02-18	127.50         	0.00222        	0.00000        	0.00343        
1984-02-19	127.50         	0.00237        	0.00000        	0.00366        
1984-02-20	127.50         	0.00202        	0.00000        	0.00311        
1984-02-21	127.49         	0.00138        	0.00000        	0.00209        
1984-02-22	127.49         	0.00124        	0.00000        	0.00188        
1984-02-23	127.49         	0.00126        	0.00000        	0.00192        
1984-02-24	127.49         	0.00212        	0.00000        	0.00331        
1984-02-25	127.48         	0.00241        	0.00000        	0.00374        
1984-02-26	127.48         	0.00095        	0.00000        	0.00141        
1984-02-27	127.48         	0.00070        	0.00000        	0.00103        
1984-02-28	127.48         	0.00067        	0.00000        	0.00101        
1984-03-01	127.48         	0.00052        	0.00000        	0.00077        
1984-03-02	127.48         	0.00021        	0.00000        	0.00029        
1984-03-03	127.48         	0.00016        	0.00000        	0.00022        
1984-03-04	127.48         	0.00015        	0.00000        	0.00020        
1984-03-05	127.48         	0.00013        	0.00000        	0.00018        
1984-03-06	127.48         	0.00013        	0.00000        	0.00018        
1984-03-07	127.48         	0.00049        	0.00000        	0.00075        
1984-03-08	127.48         	0.00044        	0.00000        	0.00067        
1984-03-09	127.48         	0.00015        	0.00000        	0.00020        
1984-03-10	127.48         	0.00011        	0.00000        	0.00015        
1984-03-11	127.48         	0.00003        	0.00000        	0.00004        
1984-03-12	127.48         	0.00003        	0.00000        	0.00004        
1984-03-13	127.48         	0.00003        	0.00000        	0.00004        
1984-03-14	127.48         	0.00003        	0.00000        	0.00004        
1984-03-15	127.48         	0.00003        	0.00000        	0.00004        
1984-03-16	127.48         	0.00044        	0.00000        	0.00068        
1984-03-17	127.47         	0.00078        	0.00000        	0.00121        
1984-03-18	127.47         	0.00085        	0.00000        	0.00131        
1984-03-19	127.47         	0.00074        	0.00000        	0.00113        
1984-03-20	127.47         	0.00096        	0.00000        	0.00146        
1984-03-21	127.47         	0.00106        	0.00000        	0.00161        
1984-03-22	127.47         	0.00170        	0.00000        	0.00263        
1984-03-23	127.46         	0.00144        	0.00000        	0.00221        
1984-03-24	127.46         	0.00116        	0.00000        	0.00177        
1984-03-25	127.46         	0.00087        	0.00000        	0.00131        
1984-03-26	127.46         	0.00106        	0.00000        	0.00160        
1984-03-27	127.46         	0.00114        	0.00000        	0.00172        
1984-03-28	127.46         	0.00114        	0.00000        	0.00173        
1984-03-29	127.45         	0.00146        	0.00000        	0.00223        
1984-03-30	127.45         	0.00074        	0.00000        	0.00112        
1984-03-31	127.45         	0.00091        	0.00000        	0.00138        
1984-04-01	127.45         	0.00101        	0.00000        	0.00154        
1984-04-02	127.45         	0.00110        	0.00000        	0.00167        
1984-04-03	127.45         	0.00124        	0.00000        	0.00189        
1984-04-04	127.44         	0.00149        	0.00000        	0.00229        
1984-04-05	127.44         	0.00225        	0.00000        	0.00348        
1984-04-06	127.44         	0.00228        	0.00000        	0.00360        
1984-04-07	127.43         	0.00227        	0.00000        	0.00353        
1984-04-08	127.43         	0.00159        	0.00000        	0.00243        
1984-04-09	127.43         	0.00195        	0.00000        	0.00301        
1984-04-10	127.42         	0.00176        	0.00000        	0.00268        
1984-04-11	127.42         	0.00171        	0.00000        	0.00259        
1984-04-12	127.42         	0.00177        	0.00000        	0.00269        
1984-04-13	127.42         	0.00218        	0.00000        	0.00333        
1984-04-14	127.41         	0.00266        	0.00000        	0.00406        
1984-04-15	127.41         	0.00268        	0.00000        	0.00409        
1984-04-16	127.40         	0.00259        	0.00000        	0.00397        
1984-04-17	127.40         	0.00295        	0.00000        	0.00456        
1984-04-18	127.39         	0.00318        	0.00000        	0.00491        
1984-04-19	127.39         	0.00296        	0.00000        	0.00456        
1984-04-20	127.39         	0.00319        	0.00000        	0.00493        
1984-04-21	127.38         	0.00302        	0.00000        	0.00466        
1984-04-22	127.38         	0.00293        	0.00000        	0.00450        
1984-04-23	127.37         	0.00217        	0.00000        	0.00329        
