DATE      	IRRIGARTION    	RUNOFF         	INFILTRATION   	DRAINAGE       	SOIL EVAP      	RES EVAP       	SNOW SUB       	TRANSPIRATION  
YYYY-MM-DD	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         
1984-01-01	0.000          	0.000          	0.769          	0.000          	0.005          	0.000          	0.686          	0.000          
1984-01-02	0.000          	0.000          	0.385          	0.000          	0.007          	0.000          	0.529          	0.000          
1984-01-03	0.000          	0.000          	2.604          	0.000          	0.046          	0.000          	0.510          	0.000          
1984-01-04	0.000          	0.000          	4.517          	0.000          	0.595          	0.000          	0.000          	0.000          
1984-01-05	0.000          	0.000          	0.000          	0.000          	0.507          	0.000          	0.000          	0.000          
1984-01-06	0.000          	0.000          	0.000          	0.000          	0.526          	0.000          	0.000          	0.000          
1984-01-07	0.000          	0.000          	0.000          	0.000          	0.606          	0.000          	0.000          	0.000          
1984-01-08	0.000          	0.000          	0.000          	0.000          	0.608          	0.000          	0.000          	0.000          
1984-01-09	0.000          	0.000          	0.000          	0.000          	0.590          	0.000          	0.000          	0.000          
1984-01-10	0.000          	0.000          	0.000          	0.000          	0.663          	0.000          	0.000          	0.000          
1984-01-11	0.000          	0.000          	1.645          	0.000          	0.084          	0.000          	0.894          	0.000          
1984-01-12	0.000          	0.000          	0.000          	0.000          	0.117          	0.000          	0.782          	0.000          
1984-01-13	0.000          	0.000          	0.000          	0.000          	0.093          	0.000          	0.472          	0.000          
1984-01-14	0.000          	0.000          	0.083          	0.000          	0.047          	0.000          	0.539          	0.000          
1984-01-15	0.000          	0.000          	0.250          	0.000          	0.107          	0.000          	0.698          	0.000          
1984-01-16	0.000          	0.000          	0.000          	0.000          	0.084          	0.000          	0.428          	0.000          
1984-01-17	0.000          	0.000          	0.000          	0.000          	0.083          	0.000          	0.546          	0.000          
1984-01-18	0.000          	0.000          	0.000          	0.000          	0.085          	0.000          	0.437          	0.000          
1984-01-19	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.550          	0.000          
1984-01-20	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.666          	0.000          
1984-01-21	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.465          	0.000          
1984-01-22	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.498          	0.000          
1984-01-23	0.000          	0.000          	0.000          	0.000          	0.000          	0.000          	0.759          	0.000          
1984-01-24	0.000          	0.000          	1.157          	0.000          	0.000          	0.000          	1.013          	0.000          
1984-01-25	0.000          	2.133          	21.201         	0.000          	0.378          	0.000          	0.910          	0.000          
1984-01-26	0.000          	0.000          	1.874          	0.000          	1.170          	0.000          	0.000          	0.000          
1984-01-27	0.000          	0.000          	0.000          	0.000          	1.340          	0.000          	0.000          	0.000          
1984-01-28	0.000          	0.000          	0.000          	0.000          	1.337          	0.000          	0.000          	0.000          
1984-01-29	0.000          	0.000          	0.000          	0.000          	0.523          	0.000          	0.000          	0.000          
1984-01-30	0.000          	0.000          	2.000          	0.000          	0.634          	0.000          	0.000          	0.000          
1984-01-31	0.000          	0.000          	2.604          	0.000          	0.570          	0.000          	0.743          	0.000          
1984-02-01	0.000          	0.000          	0.000          	0.000          	0.749          	0.000          	0.653          	0.000          
1984-02-02	0.000          	0.000          	0.000          	0.000          	0.888          	0.000          	0.000          	0.000          
1984-02-03	0.000          	0.000          	0.000          	0.000          	1.359          	0.000          	0.000          	0.000          
1984-02-04	0.000          	0.000          	5.000          	0.000          	0.871          	0.000          	0.000          	0.000          
1984-02-05	0.000          	0.000          	0.000          	0.000          	0.847          	0.000          	0.000          	0.000          
1984-02-06	0.000          	0.000          	0.000          	0.000          	0.759          	0.000          	0.000          	0.000          
1984-02-07	0.000          	0.000          	0.000          	0.000          	0.839          	0.000          	0.000          	0.000          
1984-02-08	0.000          	0.000          	0.000          	0.000          	0.935          	0.000          	0.000          	0.000          
1984-02-09	0.000          	0.000          	0.000          	0.000          	1.201          	0.000          	0.000          	0.000          
1984-02-10	0.000          	0.000          	0.000          	0.000          	1.438          	0.000          	0.000          	0.000          
1984-02-11	0.000          	0.000          	5.000          	0.000          	1.142          	0.000          	0.000          	0.000          
1984-02-12	0.000          	0.000          	4.000          	0.000          	0.885          	0.000          	0.000          	0.000          
1984-02-13	0.000          	0.000          	0.000          	0.000          	0.790          	0.000          	0.000          	0.000          
