DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	GRAIN N YIELD  	FORAGE N YIELD 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              
1984-10-04	Maize	24.801	2.874	11.583	0.000	10.344	0.5283	404.74	393.38	214.92	0.263	0.0228	0.1747	0.000	0.000	0.000	0.000
1985-09-26	Maize	23.736	2.998	10.639	0.000	10.099	0.5130	439.38	385.26	131.19	0.280	0.0274	0.1807	0.000	0.000	0.000	0.000
1986-09-30	Maize	24.174	2.891	11.401	0.000	9.882	0.5357	436.80	403.39	118.59	0.286	0.0270	0.1893	0.000	0.000	0.000	0.000
1987-09-30	Maize	19.131	2.467	8.388	0.000	8.276	0.5034	442.85	327.44	141.06	0.257	0.0243	0.1651	0.000	0.000	0.000	0.000
1988-10-07	Maize	19.121	2.232	9.305	0.000	7.584	0.5510	411.07	326.50	181.87	0.246	0.0222	0.1653	0.000	0.000	0.000	0.000
1989-09-25	Maize	21.032	2.669	9.335	0.000	9.028	0.5084	373.85	329.75	137.25	0.261	0.0238	0.1688	0.000	0.000	0.000	0.000
1990-09-18	Maize	20.503	2.586	9.349	0.000	8.568	0.5218	392.22	332.37	145.15	0.259	0.0253	0.1687	0.000	0.000	0.000	0.000
1991-09-22	Maize	15.855	2.122	6.935	0.000	6.799	0.5050	439.87	275.41	151.34	0.219	0.0211	0.1409	0.000	0.000	0.000	0.000
1992-10-01	Maize	24.728	3.075	11.294	0.000	10.358	0.5216	390.64	386.31	160.07	0.303	0.0294	0.1973	0.000	0.000	0.000	0.000
1993-09-26	Maize	20.478	2.795	8.445	0.000	9.238	0.4776	441.04	340.02	119.46	0.251	0.0254	0.1560	0.000	0.000	0.000	0.000
1994-09-30	Maize	26.345	3.013	12.395	0.000	10.936	0.5313	413.14	412.75	153.00	0.304	0.0273	0.2012	0.000	0.000	0.000	0.000
1995-09-28	Maize	17.995	2.438	7.632	0.000	7.925	0.4906	409.48	299.08	140.68	0.254	0.0238	0.1612	0.000	0.000	0.000	0.000
1996-09-25	Maize	25.957	3.034	12.088	0.000	10.835	0.5273	404.75	396.37	156.54	0.299	0.0273	0.1974	0.000	0.000	0.000	0.000
1997-10-02	Maize	20.821	2.610	9.731	0.000	8.480	0.5344	433.78	344.96	143.30	0.252	0.0252	0.1658	0.000	0.000	0.000	0.000
1998-09-25	Maize	25.749	2.961	12.127	0.000	10.661	0.5322	431.25	418.77	141.20	0.274	0.0241	0.1818	0.000	0.000	0.000	0.000
1999-10-01	Maize	18.163	2.375	8.147	0.000	7.641	0.5160	474.33	308.80	135.96	0.228	0.0235	0.1466	0.000	0.000	0.000	0.000
2000-09-30	Maize	24.976	3.006	11.368	0.000	10.602	0.5174	400.21	378.06	157.21	0.285	0.0263	0.1863	0.000	0.000	0.000	0.000
2001-09-29	Maize	22.541	2.968	9.684	0.000	9.889	0.4948	459.25	373.55	117.82	0.270	0.0266	0.1712	0.000	0.000	0.000	0.000
2002-10-03	Maize	15.114	2.254	6.115	0.000	6.745	0.4755	478.99	266.24	160.02	0.208	0.0223	0.1281	0.000	0.000	0.000	0.000
2003-10-01	Maize	24.093	2.830	11.362	0.000	9.901	0.5344	391.92	381.02	159.54	0.278	0.0250	0.1846	0.000	0.000	0.000	0.000
2004-09-20	Maize	25.982	3.100	11.910	0.000	10.972	0.5205	397.23	397.23	132.63	0.284	0.0260	0.1861	0.000	0.000	0.000	0.000
2005-09-29	Maize	20.411	2.762	8.826	0.000	8.823	0.5001	422.81	350.29	130.00	0.261	0.0254	0.1663	0.000	0.000	0.000	0.000
2006-09-29	Maize	20.677	2.741	8.795	0.000	9.141	0.4904	435.12	339.89	156.03	0.259	0.0251	0.1635	0.000	0.000	0.000	0.000
2007-09-26	Maize	25.112	3.160	11.087	0.000	10.864	0.5051	482.53	421.59	146.87	0.288	0.0284	0.1843	0.000	0.000	0.000	0.000
2008-10-01	Maize	22.150	2.873	9.637	0.000	9.640	0.4999	454.68	364.32	160.66	0.262	0.0257	0.1668	0.000	0.000	0.000	0.000
2009-09-27	Maize	27.677	3.188	12.870	0.000	11.619	0.5256	423.63	416.97	142.42	0.291	0.0263	0.1916	0.000	0.000	0.000	0.000
2010-09-25	Maize	22.883	2.864	10.440	0.000	9.579	0.5215	471.43	388.76	121.29	0.266	0.0252	0.1736	0.000	0.000	0.000	0.000
2011-09-20	Maize	25.401	3.055	11.549	0.000	10.796	0.5169	449.82	411.38	137.70	0.274	0.0253	0.1788	0.000	0.000	0.000	0.000
2012-09-23	Maize	21.084	2.622	9.977	0.000	8.485	0.5404	453.85	341.16	174.05	0.254	0.0258	0.1673	0.000	0.000	0.000	0.000
